,Datetime,Permalink,Text,Username,Favorites,Retweets,Geo,Hashtags,Engagements,Polarity,Subjectivity,NB-Positive Probability,NB-Negative Probability,NB-Sentiment Score
0,2020-05-08 06:50:19+00:00,https://twitter.com/OpenvcssR/status/1258650418621513729,Open BO&amp;VCS Real DM/WA: 083895377314 #OpenBooking #openbojakpus #openBOjaksel #availJakarta #BisyarJakarta #OpenBO #Openbojkt #BOjakarta #bojaksel #bojakut #bojaktim #bojakbar #RealBO #TrustedBO #Openvcsreal #VCS #vcstrusted #RealAngels #realbisyar #RealAccount #Recomended4BO,OpenvcssR,2,2,,#OpenBooking #openbojakpus #openBOjaksel #availJakarta #BisyarJakarta #OpenBO #Openbojkt #BOjakarta #bojaksel #bojakut #bojaktim #bojakbar #RealBO #TrustedBO #Openvcsreal #VCS #vcstrusted #RealAngels #realbisyar #RealAccount #Recomended4BO,4,0.1,0.4,0.8755917107843311,0.12440828921566985,0.7511834215686612
1,2020-05-08 06:40:41+00:00,https://twitter.com/ReneeRietz/status/1258647994276081664,I just rescued Bo in #BestFiends - Download FREE - http://download.BestFiends.com via @bestfiends,ReneeRietz,0,0,,#BestFiends,0,0.4,0.8,0.40485203873607195,0.5951479612639299,-0.19029592252785793
2,2020-05-08 06:34:04+00:00,https://twitter.com/BoLy24939844/status/1258646329837760512,LBC is open again...,BoLy24939844,0,0,,,0,0.0,0.5,0.878401312971804,0.12159868702819668,0.7568026259436074
3,2020-05-08 06:02:45+00:00,https://twitter.com/Bo_Katan_Kryze/status/1258638448958660608,People are showing so much skin. But Bo will only show her arms. . . She be buff so she can show off. ,Bo_Katan_Kryze,7,0,,,7,0.1,0.6,0.055644378360035884,0.9443556216399676,-0.8887112432799317
4,2020-05-08 06:01:56+00:00,https://twitter.com/Flatdiscounts/status/1258638243488321536,***New Deal*** Koolaburra by Ugg Elsa Gift Bo... Reduced from $67 to $27 http://link.sylikes.com?publisherId=615103&amp;afPlacementId=1623615&amp;afCampaignId=k9xsl004iy00yssf05aux&amp;url=https%3A%2F%2Fwww.kohls.com%2Fproduct%2Fprd-3690375%2Fkoolaburra-by-ugg-elsa-gift-box-throw-pillow-set.jsp%3F #Deals #newDeals #savings,Flatdiscounts,0,0,,#Deals #newDeals #savings,0,0.13636363636363635,0.45454545454545453,0.11189201972238963,0.888107980277611,-0.7762159605552214
5,2020-05-08 05:53:02+00:00,https://twitter.com/AvailboC/status/1258636005894057985, AVAIL CILACAP % REAL OPEN BO &amp; VCS SLOT TO NIGHTSEX Include Exclude Private BO NO COD [WAJIB DP] FREE 1/2 JAM CAPS NO ANAL CIM / CIF MORE INFO DM! pic.twitter.com/1gpEv3WFDm pic.twitter.com/uKCcKwXtMp,AvailboC,1,0,,,1,0.225,0.60625,0.286945769033567,0.7130542309664332,-0.42610846193286617
6,2020-05-08 05:50:09+00:00,https://twitter.com/pengbochn/status/1258635278211637248,"May 8,1999 GMT+8. B-2 Stealth and Strategic Bomber from US air force lanched 3 missiles attacked Embassy of the PRC in Yugoslavia.3 journalists were dead and several diplomatic personnel got hurt.",pengbochn,0,0,,,0,-0.1,0.2,0.4922024602828677,0.5077975397171279,-0.01559507943426025
7,2020-05-08 05:47:31+00:00,https://twitter.com/shn2phrase/status/1258634616228835334,Idk if it's just me but the baby interns at Yulje Medical reminds me of Park Bo Young and Park Bo Gum ,shn2phrase,1,2,,,3,0.05,0.2,0.7035011634335328,0.2964988365664637,0.40700232686706905
8,2020-05-08 05:43:47+00:00,https://twitter.com/LiLBoWeep/status/1258633677216428034,"I havnt slept in days, but my body is finding ways to decorate the walls around me drawn by the feeling I loath death within, I turn it into art, I’ll sleep again soon n visit my nightmares pic.twitter.com/POzZxEIItt",LiLBoWeep,48,3,,,51,0.0,0.0,0.0006021166605928391,0.9993978833393992,-0.9987957666788063
9,2020-05-08 05:41:15+00:00,https://twitter.com/AnwerKh50602765/status/1258633038348660737,Asim Bhai. Asim Sirf Himanshi Ka Bhai h. It's clear. Watch this Guys Is Clips Ko Viral Kro.. Sab Aapke Hath Me h Ab. Jis Jis Ne Asim Bhai Suna.. Bo Is Clips Ko Retweet &amp; Like Zaroor Kare. Viral Kro isko Himanshi Aunty Tak. #SidharthShukIa #SidHeartsUnitedForSid,AnwerKh50602765,17,8,,#SidharthShukIa #SidHeartsUnitedForSid,25,0.10000000000000002,0.3833333333333333,0.8137188752491576,0.18628112475084493,0.6274377504983127
10,2020-05-08 05:26:05+00:00,https://twitter.com/bo_cimahi/status/1258629224144961536,RATE + BO ST 1 JAM 600 2 JAM 900 + BO LT 8 JAM 1.5 JT 12 JAM 1.7JT RULES *MUST PAY *FULL SERVICE *BEBAS CROT * ALLSTYLE *CIM/CIF YANG SERIUS NO OMDO AVAIL ,bo_cimahi,0,0,,,0,0.35,0.55,0.8659061103685431,0.1340938896314567,0.7318122207370865
11,2020-05-08 05:15:21+00:00,https://twitter.com/MMSSupt/status/1258626523143208960,How bout those amazing seniors!#OneMillington,MMSSupt,0,1,,#OneMillington,1,0.6000000000000001,0.9,0.9826803184981124,0.017319681501888486,0.965360636996224
12,2020-05-08 05:08:40+00:00,https://twitter.com/bosswala/status/1258624841059577856,The husband is blocked at colona virus. So what do you want to get food?,bosswala,26,3,,,29,0.0,0.0,0.00599054200670107,0.9940094579933008,-0.9880189159865997
13,2020-05-08 05:00:35+00:00,https://twitter.com/AndrewBoMonroe/status/1258622806834778113,Yoooo fam @iamjojo is on #TheXchangeRate JoJo and @monetxchange out here looking fiiiiiiinnneee. STREAM good to know ,AndrewBoMonroe,0,0,,#TheXchangeRate,0,0.7,0.6000000000000001,0.6582795753068552,0.341720424693144,0.3165591506137112
14,2020-05-08 04:53:47+00:00,https://twitter.com/Scout_boss/status/1258621094757457921,"Such a hypocrite, I’m pretty sure that Papa Swift also have a gun She said racialist what about this I meant it’s #Ramadan now people are fasting,Has it entered the iftar when @taylorswift13 posted this Has no respect, not show any tolerance between religious communities ",Scout_boss,0,0,,#Ramadan #Ramadan,0,0.1875,0.6597222222222222,5.1585417291901357e-08,0.9999999484145888,-0.9999998968291716
